cpu_atom/cycles,cpu_core/cycles,cpu_atom/instructions,cpu_core/instructions,cpu_atom/cache-references,cpu_core/cache-references,cpu_atom/cache-misses,cpu_core/cache-misses,cpu_atom/branch-instructions,cpu_core/branch-instructions,cpu_atom/branch-misses,cpu_core/branch-misses,cpu_atom/bus-cycles,cpu_core/bus-cycles,timestamp
77729234,98601006,65359838,92628514,2730870,4769753,930415,1607099,11780137,17480998,435305,465828,163934875,245949145,2025-08-30 18:25:09
49874105,59371848,32803467,19866368,1766308,3831613,661466,1136305,5940734,3616059,282501,325161,131898910,199058990,2025-08-30 18:25:12
21016284,39675799,6150565,15127070,1067641,2424415,503043,946678,1097227,2737953,115646,212062,72882420,140930270,2025-08-30 18:25:15
17910843,46539221,7497309,21375543,807053,2842104,419205,1037240,1378583,4048852,97202,261735,57391165,167031605,2025-08-30 18:25:18
71895133,190667549,63377728,180193901,2398830,9057430,759286,2641606,11393622,34133365,418190,996448,122926505,395860530,2025-08-30 18:25:21
18632800,42189031,7314547,12897400,781878,2647334,419590,971726,1294529,2360024,110596,225504,64530895,150945275,2025-08-30 18:25:24
37733317,51720243,26486064,20221608,1325576,3272621,423004,1103541,4816087,3685476,221897,286951,94481530,181331605,2025-08-30 18:25:27
82750171,96474013,76466429,79165260,3271034,4928040,1438424,1542236,13505635,14839496,411733,537997,214416150,251945070,2025-08-30 18:25:30
25270021,41073811,8897114,14195264,1209994,2563094,599980,915872,1599889,2643589,130393,224075,80673775,146199755,2025-08-30 18:25:33
110486710,152971241,86976881,144217698,4183456,7558915,1767438,2442764,15996721,27185394,606690,782168,282275305,360286095,2025-08-30 18:25:36
29088177,62928342,21444303,45573962,1107619,3461506,543648,1264142,4267517,8843819,181176,372897,80641470,187217680,2025-08-30 18:25:39
47630837,55089754,31737601,21485716,1728065,3429364,636694,1109561,5741554,3958670,273237,295681,132280850,194274015,2025-08-30 18:25:42
71248691,126736286,57146880,115747154,2826640,5611647,1192574,1854594,10148023,21361553,343678,746982,148019300,273521950,2025-08-30 18:25:45
28127906,49410259,12674555,16575569,1245761,2892903,685086,1052676,2372676,2968849,146490,250500,81579680,159390530,2025-08-30 18:25:48
110280266,143128715,93360782,125368328,4116393,7407152,1553230,1903049,16691525,23911829,609491,736000,218454145,328020225,2025-08-30 18:25:51
19524149,48080950,7945973,18146588,866083,2945190,425171,1062599,1414741,3358692,105349,257929,61114170,160837300,2025-08-30 18:25:54
43157596,54773010,31394186,19692250,1470207,3355392,542893,1167606,5692191,3497195,249297,288362,108550000,176442175,2025-08-30 18:25:57
46481982,130408615,45824506,114384939,1836138,6365499,777706,2088031,8040863,21280426,216025,714186,105448655,315993405,2025-08-30 18:26:00
22713145,63435051,8813319,54286702,1087368,3051577,532811,1070275,1584087,10864158,128274,382122,74593870,168699635,2025-08-30 18:26:04
84068079,152354861,69310066,147563399,3115071,7370676,1248882,2413245,12495746,27880085,465924,775335,196562080,335515765,2025-08-30 18:26:07
32806102,32904768,11035970,13147793,1687705,2106862,972277,781772,1960889,2447839,196752,178196,142447240,133312075,2025-08-30 18:26:10
33950474,33108793,11952798,12066747,1836729,1965271,1212017,792135,2129619,2253737,197681,177037,157966640,134946110,2025-08-30 18:26:13
114357589,191102394,112485779,191238768,3887310,8258841,1334882,2696901,20532545,35846778,597854,933937,211235765,379612870,2025-08-30 18:26:16
18021991,49111694,7277594,16135184,784609,2938351,396558,1267201,1295351,2942230,103722,248814,54629250,175235190,2025-08-30 18:26:19
36296089,115432122,26076050,65991126,1259538,6815398,377380,1720166,4708643,12312198,214007,614588,80219425,287989715,2025-08-30 18:26:22
10107543,52067557,4690033,15929452,502425,3110383,217692,1434178,826884,2923950,57805,263500,29798470,188179680,2025-08-30 18:26:25
10298156,53179007,4587433,18421327,440043,3305380,176799,1121640,819174,3388074,57479,282025,30471740,188890845,2025-08-30 18:26:28
124900220,192334243,117530759,201123591,4586953,8336426,1914050,2916082,21011279,38070369,649055,930697,240745505,378342315,2025-08-30 18:26:31
57123768,61876626,55903331,21013568,2006790,3375941,990075,1017728,11093534,3949928,360703,303662,121104685,202785570,2025-08-30 18:26:34
65163879,69996210,43237805,36899680,2639979,4175493,1161055,1011631,7967409,6721979,367505,385912,185554720,206300185,2025-08-30 18:26:37
